Original,Translate_de_1,Translate_de_2
"E se, per aventura, noi sapiamo","und wenn, durch Zufall, wir wissen,","Und wenn, zum Unglück, wir wissen,"
"Com’e’ possa venire a dignitade,","wie er zur Würde kommen kann,",Wie kann er Respekt gewinnen?
"Nascosamente noi facciàn   tagliate,","Wir schneiden ihn im Verborgenen ab,",Wir handeln im Verborgenen für ihre Kürzungen.
Sì che di quella via noi ’l ne gittiamo.,Damit wir ihn von diesem Weg wegschmeißen.,Damit wir ihn von diesem Weg abbringen können.
"E ciò facciamo   noi sì tracielato,",Und wir machen das so heimtückisch.,Wir machen das so schlampig.
"Ch’e’ non saprà per chui l’avrà perduto,","daß er nicht weiß, von wem er ihn verloren hat,","Dass er sich nicht bewusst sein wird, wer sie verloren hat."
Infin ch’e’ non ne fia di fuor gittato;,bis er rausgeschmissen wird;,Bis er verjagt wird.
"Ché, s’e’ l’avese da prima saputo,","Denn wenn er es zuerst gewusst hätte,","Er hätte eine andere Entscheidung treffen können, weil er, wenn er es vorher gewusst hätte, eine andere Entscheidung treffen könnte."
Per aventura e’ si saria scusato,Vielleicht hätte er sich entschuldigt.,könnte eine Reue geäußert haben
Sì ch’i’ ne saria menzonier tenuto».,"so dass ich nicht verpflichtet sein würde, es zu erwähnen","in einer Weise, daß man ihn nicht zitieren muß"
"«Cotesta mi par gran dislealtate»,",Das scheint mir eine große Unehrlichkeit zu sein.,Das scheint mir eine große Unehrlichkeit zu sein.
"Rispose Amore, «Or non credi tu ’n Cristo?».","""Glaubst du nicht an Christus?","""Glaubst du nicht an Christus?"
"«I’ non, chéd e’ sarà pover, e tristo","Ich nicht, denn es wird arm und traurig sein","Ich nicht, denn es wird hässlich und melancholisch sein."
"Colu’, che viverà di lealtade,",Wer von Loyalität leben wird,"Der, der in Lauterkeit leben wird."
"Sì ch’io non vo’ per me quelle ghignate,","So sehr, dass ich dieses Lachen nicht für mich will,","So sehr, dass ich dieses Lachen nicht für mich haben will."
"Ma, come ched i’ possa, i’ pur aquisto,","aber, wie ich kann, Kauf","Aber, wie ich kann, ich kaufe"
Ché da nessun nonn-è volontier visto,weil niemand gerne sehen möchte,"weil niemand will, um zu sehen,"
"Colui, che man terrà di Povertate,","den, der an die Armut glaubt,","Derjenige, der die Barmherzigkeit beobachtet."
"Anzi l’alunga ciascuno, ed incaccia,","sondern jeder wendet ihn weg und jagt ihn,",Aber jeder nimmt ihn weg und streckt ihn aus.
"Già no•lli fia sì amico, né parente,",Er wird nie ein Freund oder ein Verwandter sein.,Er wird nie ein Freund oder ein Verwandter sein.
Ch’egli il vega volontieri in faccia.,Er soll ihn freiwillig ins Gesicht sehen.,Dass er von Angesicht zu Angesicht auftaucht.
"Sì ch’i’ vogl’anzi c’on mi sia ubidente,","So sehr ich will, dass ich gehorsam bin,","So sehr ich will, dass ich gehorsam bin."
"Come ch’io a Cristo   ne dispiaccia,",wie Christus leid tut,wie es Christus leid tut
Ched eser in servagio della giente.,Menschen zu dienen.,der Bevölkerung zur Verfügung stehen.
"Vedete che danari ànno usorieri,","Ihr seht, was für Geld die Wucherer haben.","Schauen Sie sich an, wie viel Geld die Geldgeber haben."
"Siniscalchi, e provosti, e piatitori,","die Synischeln und die Vorwürfe und die Reiter,","Siniskalche, Schutzpatrone und Antragsteller"
Che tutti quanti son gran piatitori:,dass alle sind große Bittsteller:,dass alle sind große Flehen
"E’ si son argogliosi molto, e fieri.",Und sie sind sehr stolz und stolz.,Und sie sind sehr zufrieden und stolz.
"Ancor borghesi, sopra i cavalieri,","Auch die Bourgeoisie über den Rittern,","Auch die Bürger, die den Adligen überlegen waren, hatten besondere Vorrechte."
Son ogi tutti quanti venditori,Sie sind alle Verkäufer.,Sie sind alle Händler.
"Di lor derrate, e aterminatori,","ihre Nahrungsmittel und Landungen,",ihrer Güter und Transportmittel
"Sì c’ognie gientil huon farà panieri,","so daß jeder Gentleman Brötchen machen wird,","so viel, dass jeder Herr Körbe zubereiten wird"
"E’ conviene, ch’e’ vendan casa o terra",Sie müssen Häuser oder Land verkaufen,"Es ist unerlässlich, dass sie Häuser oder Eigentum veräußern."
"Infin che i borghesi siar pagati,","bis die Bourgeoisie bezahlt werden,","Es wird keinen Frieden geben, bis die Kapitalisten entschädigt werden, und es wird keine Ruhe geben."
Che giorno e notte gli tegnono in serra.,Sie halten sie Tag und Nacht im Gewächshaus.,die sie Tag und Nacht in einem klimatisierten Zimmer aufbewahren.
"Ma io, che porto panni devisati,",Aber ich trage schlechte Kleidung.,"Ich kann nicht reingehen, aber ich trage schmutzige Klamotten. Ich kann nicht zugreifen."
"Fo creder lor che ciascheun sì erra,","Ich lasse sie glauben, dass jeder falsch liegt.","Sie glauben, dass jeder Mensch Fehler macht."
E ’nganno ingannatori   e ingannati.,und täusche sowohl die Betrüger als auch die Betrüger.,Sowohl die Betrüger als auch die Opfer zu überprüfen.
"Chi se ’n vuol adirar, sì se n’adiri,","Wer zornig werden will, wütend wird,","Wer wütend werden will, wütend wird."
"Chéd i’ vi pur conterò ognie mio fatto,","Denn ich werde euch alles erzählen, was ich getan habe,",Denn ich werde euch alle meine Episoden erzählen.
"S’i’ dovess’eser istrutto intrafatto,","Wenn ich tief in mich hineingebildet werde,",Wenn ich gründlich unterwiesen werden müsste.
"O morto, a torto, com’ furo i martìri,","oder gestorben, ungerechterweise, wie die Märtyrer,","Deceased, unfairly, like the saints"
"O discacciato,   com’e’ fu ’l buon siri","oder verbannt, wie der gute Herr war","wie der gute Herr war, oder ausgestoßen"
"Guillermo, che di Santo Amor fu stratto,","Guillermo, der von Heiliger Liebe geschleppt wurde,","Guillermo, der vom heiligen Eifer überwältigt wurde,"
"Così ’l conciò la mogle di Baratto,","Also lernte ihn Baraths Frau kennen,",Auf diese Weise bereitete ihn die Braut aus Baratto vor.
Però ch’e’ mi ronpea   tutti mie’ giri;,denn er brach mir alle meine Umdrehungen;,Weil er alle meine Pläne unterbrach.
"Chéd e’ sì fu per lei sì discacciato,","denn er ward für sie so verstoßen,",Weil er wegen ihr so weit entfernt war.
"E sol per verità, ch’e’ sostenea,","und nur für die Wahrheit, die er behauptete,","und nur für die Loyalität, die er bekennen"
Ched e’ fu del reame isbandegiato.,der aus dem Königreich verbannt wurde.,der aus dem Königreich verbannt wurde.
"De mia vita fe’ libro, e sì legiea","Er machte ein Buch meines Lebens und las es,",Er komponierte einen Band über meine Existenz und las ihn.
Ch’e’ non volea   ch’i’ gisse mendicato:,"daß er nicht wollte, daß ich bettele;","Dass er nicht wollte, dass ich existiere, indem er das Leben eines Trottels macht."
Verso mia madre troppo misprendea!,Meine Mutter hatte zu wenig Rücksicht auf sie.,Meine Mutter hatte eine unzureichende Bewertung.
Questo buonuon volea ch’i’ rinegasse,"Dieser gute Mann wollte, dass ich es verleugne.","Mein Glaube Dieser Gentleman wollte, dass ich meine Religion verleugne."
"Mendichità e gisse lavorando,","die Menditizität und du lebst, wenn du arbeitest,",die Armut und das Wirken bestehen würde.
S’i’ non avea che mia vita passando,Wenn ich nicht mein Leben verbringen würde,"Wenn ich meine Existenz nicht hätte, würde ich die Stunden damit verbringen, Spaß zu haben."
"Potesse, sanza c’altro domandasse.","Könnte, ohne mehr zu fragen.","Vielleicht, ohne mehr zu fragen."
A quel consigl’io mai no•m’acordasse:,An diesen Rat habe ich mich nie angepasst:,Ich habe diese Empfehlung nie befolgt.
Tropp’è gran noia l’andar travagliando.,"Es ist viel zu langweilig, zu arbeiten.",Übermäßige Monotonie begleitet die Arbeit.
"Megl’i’amo star davante adorando,","Ich würde lieber vorn stehen und anbeten,",Ich bleibe lieber an der Front und verehre sie.
Ched i’ a lavorar ma’ faticasse;,"anstatt mich zu ermüden, wenn ich arbeite.",Anstatt mich zu ermüden.
Ché ’l lavorar sì no•mi può piaciere,"dass ich arbeite, weil ich die Arbeit nicht mag","dass ich arbeite, denn das Handwerk gefällt mir nicht"
"Néd a•cciò consentir no•mi poria,","Und ich könnte euch niemals zustimmen,",Und ich würde nie zustimmen.
Ché molte volte fallarei in dolere.,Denn oft würde ich in Trauer versagen.,Denn viele Male würde ich in Bedrängnis brechen.
Più amo il manto di Papalardia,Ich bringe lieber den Mantel von Papalardia mit.,"Ich mag es, Papalardias Mantel zu tragen."
"Portar, per ciò ch’egl’è magior savere,","Denn es ist das Beste, was zu tun ist,","da es die am besten geeignete Option ist, die es zu ergreifen gilt"
Ché di lui cuopr’io mia   gran rinaldia.,Denn damit verdecke ich meine große Bosheit.,Denn dank ihm tarne ich meine große List.
"I’ sì nonn-ò più cura d’ermitagi,","Ich sorge nicht mehr dafür, als Einsiedler zu leben,","Aber ich will mein Leben mit jemandem teilen, ich will nicht mehr einsam sein, aber ich möchte meine Existenz mit jemandem teilen."
"Né di star in diserti, né ’n foresta,","weder in Wüstenlandschaften noch im Wald liegen,",oder öde oder bewaldete Umgebungen zu besuchen.
Ch’e’ vi cade sovente la tenpesta.,Weil der Sturm oft auf uns fällt.,Weil es oft einen Sturm gibt.
"S’i’ chito a San Giovanni que•bboscagi,","Wenn ich mich in San Giovanni in den Wäldern niederlasse,",Wenn ich mich in San Giovanni in den Wäldern rasiere.
"In cittadi, e ’n castella fo mie’ stagi","Ich mache meine Etappen in der Stadt und in den Schlössern,",Ich mache meine Reisen in die Stadt und in die Festungen.
Mostrando ched i’ faccia vita agresta;,"indem sie zeigen, dass sie ein agrares Leben führen,","Sie zeigen, dass sie ein Landleben führen."
"Ma, s’alla villa buon morsel s’aresta,","Aber wenn es in der Villa eine gute Mahlzeit gibt,","Dann lass uns gehen, wenn in der Villa ein gutes Festmahl ist, dann gehen wir."
E’ pur convien per forza ch’i’ n’asagi.,Du musst es probieren.,"Es ist unerlässlich, dass Sie es unbedingt probieren."
E vo diciendo ch’i’ vo’ fuor del mondo,"Und du sagst, ich will die Welt verlassen.","aber ich will bleiben und du sagst, ich will das Universum verlassen, aber ich will bleiben."
"Per ch’i’ mi giuochi in sale e in palazi,","um mich in Salz und Palästen zu amüsieren,",um in den Clubs und in den Wohnungen zu spielen.
"Ma, chi vuol dire vero, i’ mi v’afondo,","Wer aber die Wahrheit sagen will, der erschüttere mich.","Aber wer die Wahrheit sagen will, tauche ein."
"S’i’ posso trovar via d’aver grand’agi,","Wenn ich einen Weg finden kann, große Freuden zu haben","Wenn ich einen Weg finden kann, um glücklich zu werden."
Or siate cierto ch’i’ no•mi nascondo,"Seid versichert, dass ich mich nicht verstecke.","Jetzt seid sicher, dass ich mich nicht versöhne."
"Ancor, s’i’ m’intrametto in far   mogliazo,","Obwohl ich mich in die Organisation von Hochzeiten einmische,","Ich mag es, selbst wenn ich an der Hochzeit teilnehme, ist es etwas, das mir Freude macht."
"Altr’or fo paci, altr’or sì son sensale,","Manchmal mache ich Frieden, manchmal bin ich Vermittler.","Andere Male bin ich eine Quelle des TrostesViele Male werde ich wiedervereint, andere Gesichter spielen die Rolle des Vermittlers, andere Male biete ich Erleichterung."
"Manovaldo mi fo, ma quel cotale,","Ich drehe mich um, aber das ist es.","Ich möchte wirklich ein Unternehmer als manueller Arbeiter werden, aber was ich wirklich will, ist ein Unternehmer zu werden."
"Che mi vi mette, l’abiate per pazo",Ihr habt ihn für verrückt gehalten.,Ihr seid verrückt.
"Ché de’ suo’ beni i’ fo torre, e palazo,","Denn aus seinem Besitz mache ich Türme und Paläste,",Weil ich aus seinen Besitztümern Festungen und Schlösser baue.
"Over be’ dormitori, o belle sale;",oder schöne Schlafsäle oder schöne Räume;,Beherbergen Sie schöne Unterkünfte oder wunderschöne Zimmer.
"Sì che, s’egli à figluol, poco gli vale:","Also, wenn er ein Kind hat, dann ist es ihm wenig wert.","damit er, wenn er ein Kind hat, nicht von großem Wert ist."
I ben’ del padre sì ’l te ne rispazo.,Ich nehme ihr das Vermögen ihres Vaters weg.,Die Reichtümer der Eltern werden ihm genommen.
"E, se voi aveste nulla cosa a fare,","Und wenn Sie etwas zu tun haben,","Tun Sie es Wenn Sie eine Aufgabe haben, führen Sie es durch"
"Intorno di colui, con ch’i’ riparo,","um das herum, mit dem ich mich verbünde,","um das herum, mit dem ich interagiere"
"Diràllami, faròlla capitare.","Sagen Sie es mir, ich werde es tun.","Sagen Sie es mir, ich mache es möglich."
Ma non convien mostrar   ch’e’ vi si’ amaro,"Aber du solltest nicht zeigen, dass du bitter bist.","Aber ihr solltet nicht beweisen, dass ihr boshaft seid."
"A larga mente sapermi donare,","Ich weiß sehr wohl, wie man mir spenden kann,","mit einem breiten Verständnis, mich anbieten zu können."
Ché ’l mi’ servigio i’ ’l vendo molto caro.,Weil ich meinen Dienst sehr teuer verkaufe.,weil ich mein Produkt zu einem hohen Preis lege.
"I’ sì son de’ valletti d’Antecristo,","Ich bin einer der Diener des Antichristen,",Ich bin einer der Diener des Antichristen.
"Di quel’ ladron’, che dicie la,","Von dem Dieb, den sie sagen,","Er ist ein Experte für den Übeltäter, der sagt, er ist geschickt."
"Ch’e’ fanno molto santa portatura,","die eine sehr heilig tragen,",die eine Luft von großer Heiligkeit tragen.
E ciaschedun di loro è ipocristo.,Und jeder von ihnen ist ein Heuchler.,Und jeder von ihnen ist ein Fan.
"Agniol pietoso par, quand’uon l’à visto,","Sieht aus wie ein trauriges Lamm, wenn man es sieht.","Sieht aus wie ein sanftmütiges Schaf, wenn man es beobachtet."
Di fora sì fa dolze portatura,Draußen macht man eine süße Tür,Draußen macht man eine nette Freundlichkeit.
"Ma egli è dentro lupo, per natura,","Aber er ist in einem Wolf, von Natur aus,","Irreführung ist in einem Wolf, von Natur aus, clever"
Che divora la giente Giesocristo.,der die Menschen Jesu Christi verzehrt.,der die Menschen Jesu Christi ausnutzt.
"Così abiamo inpreso mare e terra,","Also nahmen wir Meer und Land,","So kämpften wir gegen beide Elemente, Meer und Land."
E sì facciàn per tutto ordinamento:,Und wir machen überall Befehle:,Wir räumen überall auf.
"Chi no•l’oserva, diamo c’a fede erra.","Wer ihn nicht beobachtet, dem schaden wir mit einem Irrtum des Glaubens.","Wer ihn nicht betrachtet, verurteilt ihn irrtümlich wegen mangelnder Ergebenheit."
"Tanto facciamo co•nostro tradimento,","Wir machen es mit unserer Tradition,",Wir tun es mit unserer Gewohnheit
"Che tutto ’l mondo à preso co•noi guerra,","Dass die ganze Welt uns besiegt hat,",daß uns die ganze Erde gekämpft hat
Ma tutti gli mettiamo a perdimento.,Aber wir alle ruinieren sie.,Aber wir verwüsten sie alle.
"Sed i’ truovo in cittade o in castello,","Aber wenn ich in der Stadt oder im Schloss bin,","Wenn ich in der Stadt oder in der Festung herausfinde,"
"Colà ove paterino sia riparato,","dort, wo der Vater Zuflucht hat,","der Sohn ist verbannt, wo der Vater Zuflucht gefunden hat, der Sohn ist ein Flüchtling."
"Credente ched e’ sia o consolato,","in der Überzeugung, dass es tröstend ist,","weinteEr glaubte, getröstet zu werden, verschüttete Tränen."
"Od altr’uon, ma’ ch’e’ sia mio ribello,","Oder ein anderer, der aber mein Rebell ist,","Noch eins, aber das ist mein Widersacher."
"O prete ched e’ sia, o chericiello,","oder ein Priester oder ein Kleriker,","entweder ein Hirte, ein Priester, ein Geistlicher oder ein Pfarrer"
"Che tenga amica, o giolivo parlato,","Freundinnen zu halten oder fröhlich zu reden,","Seien Sie gesellig, oder zeigen Sie sich fröhlich."
"E’ convien ch’e’ per me sia gastigato,","Und es ist besser, dass er für mich gezüchtigt wird,","Und es ist besser, dass er für mich bestraft wird."
