Original,Translate_en_1,Translate_en_2
"Per tutto ’l mondo i’ era ricordata,","All over the world I was remembered,","All over the earth, I was famous."
"Com’io t’ò detto, de la mia  bieltate,","as I told you, for my beauty,","I'm proudAs I pointed out to you, for my good fortune, I feel proud."
E molte zuffe ne fur cominciate,and many disputes have been begun,and many disputes have been initiated
E molte gienti alcun’ora piagata;,and many people have been injured;,and many individuals have been injured.
"Ché que’, che mi crede’ aver più legata,",For those who believed that they had bound me,They freed me because those who thought they had imprisoned me have emancipated me.
Assa’ mostrav’i’ più di duritate:,I showed them more hardness:,I have shown them greater firmness.
"Le mie promesse gli venian fallate,","My promises have not come true,",My vows have not been fulfilled.
C’altre persone m’avieno inarrata.,because other people had deceived me.,because other people had turbulented me.
Per molte volte m’era l’uscio rotto,For many times my door was broken,For many occasions my door was broken.
"E tentennato, quand’io mi dormia;","and scorned when I slept,","The doorThe lock was smashed while I was resting, the door."
"Ma già per ciò io non faciea lor motto,",but I didn't do anything because,but I have done nothing:
"Perciò ched i’ avea altra conpagnia,",So that I had other company,So that I had other people around
"A chui intender faciea, che ’l su’ disdotto",I made him believe that his pleasure,I gave him the impression that his well-being was mine.
"Mi piaciea più che null’altro, ch’e’•ssia.",I liked him more than anything.,I was more excited than anything else.
"I’ era bella, e giovane, e folletta,","I was beautiful, young and joking,","I was attractive, youthful and funny."
Ma non era a la scuola de l’Amore,But he wasn't at the school of love.,But he wasn't at the school of affection
Istata; ma i’ so or ben per cuore,It was; but now I know wellfor my heart,"He was unknown to me, but now I know him well."
"La pratica, la qual ti fie qui detta.",the practice that will be described here.,The exercise illustrated here.
"Usanza me n’à fatta sì savietta,","The custom has made me so experienced,",The habit has made me so experienced.
"Ched i’ non dotterei nessun lettore,","that I could not deceive any reader,",I couldn't fool any reader.
"Che di ciò mi faciesse desinore,","that he would make a bad judgment of this to me,",that he gave me a bad opinion of this.
Ma’ ched i’ fosse bella e giovanetta:,But because I was beautiful and young.,But because I was attractive and young.
"Chéd egli è tanto ched i’ non finai,","Because what I've done is so much,",It's not enough because what I've done isn't enough.
Che•lla scienza i’ ò nel mi’ coragio.,that knowledge or in my courage.,Wisdom or in my boldness.
"Sed e’ ti piacie, tu l’ascholterai,","But if you like it, you'll listen to it.","If it's to your liking, you'll listen to it."
Ma i’ no•l’ebi sanza gran damagio:,but I would not have obtained it without great damage;,"However, I wouldn't have gotten it without major losses."
Molta pen’ e travaglio vi durai;,I have suffered a great deal and laboured a great deal;,I have suffered and I have worked hard.
"Ma pur e ’l mal se n’è mess’, e l’usagio.",But now evil has passed and I have gained experience.,But now the damage has vanished and I have gained wisdom.
"Molti buon’ uomini i’ ò già ’nghannati,","I have deceived many good men,",I've dulled many gentlemen.
"Quand’i’ gli tenni ne mie’ lacci presi,","When I kept them in my laces,","I felt them fighting When I imprisoned them in my nets, I sensed them getting agitated."
Ma prima fu’ ’ngannata tanti mesi,"But before I was deceived for so many months,",before I was deceived for so many months
Che ’ più de’ mie’ sollazi eran passati.,that my pleasures had already passed.,that my joys had already vanished.
Cientomilia cotanti e’ barattati,A hundred thousand of them bartered.,exchange one hundred thousand of these
"N’avrei, s’i’ a buon’ ora gli avesse tesi:","I would, if I had taken them in time;",I would have had if I had acquired them quickly.
"E conti, e cavalieri, e gran borgesi,","and counts, knights and great bourgeois,","and counts, noble and rich bourgeois."
Ch’e’ molti fiorin d’oro m’avrian dati.,that would give me many golden florins.,that would give me a great deal of gold florins.
"Ma, quand’i’ me n’avidi, egli era tardi,","But when I saw it, it was too late.","When I realized, it was already too late."
"Chéd i’ era già fuor di Giovaneza,",because I was already out of my youth,for I had already passed adolescence
"Ed eranmi falliti i dolzi isguardi,","and my sweet looks had failed,",and my tender eyes had failed.
Perché ’n sua balia mi tenea Vechieza.,For old age held me in his power.,because old age had an ascendancy over me.
"Or convien, figluola mia, che tu ti guardi,","It is fitting now, my daughter, that you concern yourself,","It is now fitting, my dear, that you take care of yourself."
Chettu non ti conduchi a tale streza.,that you do not lead to such a situation.,that you don't behave like that.
"Molto mi dolea   il cuor, quand’i’ vedea",My heart hurts a lot when I saw,HeMy heart suffered deeply when I saw him.
"Chell’uscio mio stava in tal sogiorno,","that my door was in such a place,",that my door was in a place like this.
Ch’e’ vi solea   aver tal pressa ’ntorno,that was so crowded around it,that was so crowded around it
Che tutta la contrada ne dolea.,that the whole area suffered from it.,that the whole region was afflicted with it.
"Ma, quanto a me, e’ no•me ne calea,","But as for me, I didn't care.","However, as far as I am concerned, I had no interest in it."
"Ché troppo più piaciea   loro quel torno,","because that was too pleasant for them,","because that was too pleasant for them,"
"Ch’i’ era allora di sì grande attorno,","that I was then so big around,",that I was so immense around
Che tutto quanto il mondo mi’ parea.,that the whole world seemed to me.,that everything appeared to me.
"Or convenia che di dolor morisse,","Now it's better if he died of pain,",Now it is right that you breathe in anguish.
"Quand’i’ vedea   que’ giovani passare,","When I saw those young men passing by,","I felt sad when I saw those guys passing through, I felt distressed"
E ciaschedun parea   che mi schernisse.,And everyone seemed to mock me.,And everyone seemed to mock me.
“Vechia increspata” mi faciean chiamare,"""Old ripple"" they called me","""They called me old wrinkled."""
"A colu’ solamente, che giadisse","To him alone, who once","To those who alone, who in the past"
Più carnalmente mi solea   amare.,He loved me more fleshly.,He loved me more passionately.
Ancora d’altra parte cuore humano,"On the other hand, the human heart","always remains the sameOn the one hand, the human heart remains unchanged"
"Non penserebe il gran dolor, ch’i’ sento,",He wouldn't think the great pain I'm feeling.,would not imagine the deep sadness I feel
Tratutte l’ore ch’i’ ò pensamento,Of all the hours I've thought of.,Of all the times I've meditated
"De’ be’ basciar’, che m’ànno dato mano.",The beautiful kisses they gave me.,To the sweet kissers who bestowed on me.
"Ogni’ Sollazo m’è ogi lontano,","Every pleasure is now far away from me,",Every satisfaction is now remote to me.
Ma non Ira e Dolori e Gran-Tormento:,but not anger and pain and great torment:,but not indignation and suffering and great affliction.
Costor si ànno fatto saramento,These have taken an oath.,These people have given a solemn vow.
Ch’i’ non uscirò lor mai di tra mano.,That I'll never get out of their hands.,That I will never be free from their clutches.
"Or puo’ veder com’i’ son arivata,",Now you can see how I got here.,Now you can see how I got here.
"Né al mi’ mal nonn-à altra cagione,","And my evil has no other cause,",If not loveAnd my suffering has no other reason but affection.
Se non ched i’ fu’ troppo tosto nata.,If not the fact that I was born too soon.,If not the fact that I came into the world too soon.
Ma sapie ched io ò ferma intenzione,But know that I have a firm intention,Keep in mind that I have a strong resolve.
"Ch’i’ sarò anchor per te vendicata,",That I will also be avenged for you,That I'll be revenge for you too
Settu ben riterrai la mia lezione.,If you consider my lesson well.,If you examine my lesson carefully.
Non ne pos’altrementi far vengianza,I can't do anything about revenge.,I can't do anything about it.
"Se non per insegniarti mia dottrina,","If I don't teach you my doctrine,","How can I help you?If I don't explain my wisdom to you, how can I support you?"
Perciò che•llo me’ cor sì m’indovina,Because my heart guesses me,Because my heart senses me
Chettu darai lor ancor gran micianza,"That you will still give them great defeat,",That you will inflict on them still great defeat.
"A que’ ribaldi, che tanta viltanza",To those blasphemers that so many insults,they have turned to those reckless who have cast so much improbation
Me dicieano da sera e da mattina.,They said to me in the evening and in the morning,They warned me by night and by day.
"Tutti gli meterai anche a la china,","You're gonna put them all down, too.",You're gonna put them all down.
Se•ttu sa’ ben tener la tua bilanza.,If you know how to keep your scales.,If you know how to keep your scales.
