Original,Translate_fr_1,Translate_fr_2
"Né non fie mai per me più ritrovata,","et elle ne sera plus jamais retrouvée pour moi,",et elle ne sera plus jamais retracée pour moi.
Chéd ella mi giurò di non reddire.,Parce qu'il m'a juré de ne pas revenir.,parce qu'il m'a promis solennellement de ne pas revenir.
"Or n’ò ’n consigliar te, che dé’ sentire","Maintenant, j'ai un conseil pour toi, que tu dois écouter.","Maintenant, j'ai un avertissement pour vous, que vous devez prendre en considération"
"Il caldo del brandone, che sie avisata","la chaleur de la passion, pour être avertie","l'ardeur de la dévotion, pour être informée"
Che non faciessi sì come fec’io:,de ne pas faire comme moi:,Ne suivez pas mon exemple
"De ch’i’   son trista, quand’e’ men rimenbra","dont je suis triste, quand je me souviens","dont je regrette, quand je me souviens"
Ch’i’   non posso tornare a lavorio.,Je ne peux pas retourner travailler.,Je ne peux pas retourner travailler.
Per ch’i’ te dico ben ched e’ mi senbra.,Donc je te dis que ça me semble juste:,C'est pourquoi je vous dis que cela me semble approprié.
"Settu creder vorà’ ’l consiglio mio,","Si tu veux croire mon conseil,","Écoute, si tu veux accepter ma suggestion, écoute-le."
"Tu sì non perderai aver, né menbra.",Tu ne perdras ni richesse ni gloire.,Tu ne sacrifieras ni bien-être ni réputation.
Se del giuoco d’amor i’ fosse essuta,Si j'étais experte dans le jeu de l'amour,Si je connaissais le jeu de l'affection
"Ben sagia, quand’i’ era giovanella,","Je savais, quand j'étais jeune,","que j'apprenais mieux, quand j'étais jeune, je savais qu'il serait plus avantageux d'apprendre."
"I’ sare’ richa più che damigiella,",J'aurais été plus riche qu'une demoiselle d'honneur.,J'aurais été plus belle qu'une jeune fille.
"O donna, chettu agie ogi veduta:","ou femme que tu as jamais vue,","ô femme que tu n'as jamais vue,"
Ch’i’ fu’ sì trapiaciente in mia venuta,Parce que j'étais si captivante à mon arrivée.,Parce que j'étais si charmant à mon arrivée.
Che per tutto corea la novella,qui dans le monde entier la nouvelle,il réussit que dans toute la terre la nouvelle est populaire
"Com’i’ era cortese, e giente, e bella.","Comme j'étais gentille, gentille et belle.","Comment j'étais aimable, aimable et attirante."
"Macciò mi pesa, ch’i’ non fu’ saputa.",Mais ça me pèse que je n'ai pas entendu.,Ça m'attriste que je n'ai pas eu la capacité de comprendre.
"Or s’i’ mi doglio, quand’i’ mi rimiro",Je me plains quand je me regarde.,autourMaintenant je regrette quand scruter autour
"Dentro a lo spechio, ed i’ vego invechiarmi,","dans le miroir et je me vois vieillir,","à l'intérieur du miroir, je me regarde vieillir."
Molto nel mi’ cuore me n’adiro.,Je m'énerve dans mon cœur.,Je vends de l'irritation profonde dans mon esprit.
"Ver è ched i’ di ciò non posso atarmi,",Il est vrai que je ne peux rien y faire.,C'est indéniable que je ne peux rien y faire.
"Sì che per molte volte ne sospiro,",et ainsi souvent soupirer,et ainsi pendant de nombreux moments soupirant
Quand’i’ vegio biltate abandonarmi.,Quand je vois ma beauté m'abandonner.,quand je regarde mon charme disparaître
"Per tutto ’l mondo i’ era ricordata,","Dans le monde entier, j'étais rappelée,","Sur toute la terre, j'étais célèbre."
"Com’io t’ò detto, de la mia  bieltate,","Comme je te l'ai dit, pour ma beauté,","Je suis fière de toi comme je te l'ai dit, dans mon aventure, je me sens fière."
E molte zuffe ne fur cominciate,et beaucoup de disputes ont été commencées,et beaucoup de controverses ont été commencées
E molte gienti alcun’ora piagata;,et beaucoup de personnes ont été blessées;,et de nombreuses personnes ont été blessées.
"Ché que’, che mi crede’ aver più legata,",Car ceux qui croyaient m'avoir attachée,Ils m'ont libéré parce que ceux qui pensaient m'avoir emprisonnée m'ont émancipé.
Assa’ mostrav’i’ più di duritate:,Je leur ai montré plus de dureté:,Je leur ai montré plus de fermeté.
"Le mie promesse gli venian fallate,","Mes promesses ne se sont pas réalisées,",Mes vœux ne se sont pas réalisés.
C’altre persone m’avieno inarrata.,parce que d'autres personnes m'avaient trompée.,Parce que d'autres personnes m'ont tourmenté.
Per molte volte m’era l’uscio rotto,"Plusieurs fois, ma porte était cassée.","Pour de nombreuses occasions, ma porte était cassée."
"E tentennato, quand’io mi dormia;","et éparpillée quand je dormais,","La porte La serrure a été défoncée pendant que je me reposais, la porte."
"Ma già per ciò io non faciea lor motto,",mais je n'ai rien fait parce que,"mais je n'ai rien fait,"
"Perciò ched i’ avea altra conpagnia,",C'est pourquoi j'avais une autre compagnie.,C'est pourquoi j'avais d'autres gens autour de moi.
"A chui intender faciea, che ’l su’ disdotto",Je lui ai fait croire que son plaisir,Je lui ai donné l'impression que son bien-être était le mien.
"Mi piaciea più che null’altro, ch’e’•ssia.",Je l'aimais plus que tout.,J'étais plus enthousiaste que tout.
"I’ era bella, e giovane, e folletta,","J'étais belle, jeune et blagueuse,","J'étais attirante, jeune et drôle."
Ma non era a la scuola de l’Amore,mais il n'était pas à l'école de l'amour,Mais il n'était pas à l'école de l'affection.
Istata; ma i’ so or ben per cuore,Elle a été; mais maintenant je sais bien pour le coeur,"Il était inconnu de moi, mais maintenant je le connais bien."
"La pratica, la qual ti fie qui detta.",la pratique qui vous sera décrite ici.,L'exercice illustré ici.
"Usanza me n’à fatta sì savietta,",La coutume m'a rendue si experte.,L'habitude m'a rendue si experte.
"Ched i’ non dotterei nessun lettore,","que je ne pourrais tromper aucun lecteur,",que je ne pourrais tromper aucun lecteur.
"Che di ciò mi faciesse desinore,","qu'il me fasse un mauvais jugement,",que cela me donne une mauvaise opinion.
Ma’ ched i’ fosse bella e giovanetta:,Mais parce que j'étais belle et jeune.,Mais parce que j'étais attirante et jeune.
"Chéd egli è tanto ched i’ non finai,","Parce que ce que j'ai fait est tellement,",Ce que j'ai fait n'est pas suffisant.
Che•lla scienza i’ ò nel mi’ coragio.,que la connaissance ou dans mon courage.,que la sagesse soit dans mon audace.
"Sed e’ ti piacie, tu l’ascholterai,","Mais si tu l'aimes, tu l'écouteras,","Si ça te plaît, tu l'écouteras."
Ma i’ no•l’ebi sanza gran damagio:,Mais je ne l'aurais pas obtenue sans grand dommage;,"Cependant, je ne l'aurais pas obtenu sans de grandes pertes."
Molta pen’ e travaglio vi durai;,J'ai beaucoup souffert et j'ai beaucoup travaillé;,J'ai souffert et j'ai fait beaucoup d'efforts.
"Ma pur e ’l mal se n’è mess’, e l’usagio.",Mais maintenant le mal est passé et j'ai acquis de l'expérience.,Mais maintenant les dégâts ont disparu et j'ai gagné de la sagesse.
"Molti buon’ uomini i’ ò già ’nghannati,",J'ai trompé beaucoup de bons hommes.,J'ai tourmenté de nombreux gentlemen.
"Quand’i’ gli tenni ne mie’ lacci presi,","Quand je les gardais dans mes lacets,","Quand je les emprisonnais dans mes filets, je les sentais s'agiter."
Ma prima fu’ ’ngannata tanti mesi,"Mais avant, j'ai été trompée pendant tant de mois,","Avant, on me trompait pendant des mois."
Che ’ più de’ mie’ sollazi eran passati.,que mes plaisirs étaient déjà passés.,que mes joies avaient déjà disparu.
Cientomilia cotanti e’ barattati,Une centaine de milliers d'entre eux ont été échangés,Échanges de cent mille de ces
"N’avrei, s’i’ a buon’ ora gli avesse tesi:","J'aurais, si je les avais pris à temps;",J'aurais eu si je les avais eus rapidement.
"E conti, e cavalieri, e gran borgesi,","et comptes, cavaliers et grands bourgeois,","et comptes, nobles et riches bourgeois."
Ch’e’ molti fiorin d’oro m’avrian dati.,qui me donneraient beaucoup de florins d'or.,qui me donneraient une grande quantité de florins d'or.
"Ma, quand’i’ me n’avidi, egli era tardi,","Mais quand je l'ai vu, c'était trop tard.","Quand je me suis rendu compte, il était déjà trop tard."
"Chéd i’ era già fuor di Giovaneza,",Parce que j'étais déjà hors de ma jeunesse,Car j'avais déjà dépassé l'adolescence.
"Ed eranmi falliti i dolzi isguardi,","et mes doux regards avaient échoué,",et mes tendres regards avaient échoué.
Perché ’n sua balia mi tenea Vechieza.,Parce que la vieillesse me tenait en son pouvoir.,parce que la vieillesse avait un ascension sur moi.
"Or convien, figluola mia, che tu ti guardi,","Il convient maintenant, ma fille, que tu te préoccupes de moi,","Il convient maintenant, ma chère, que tu prennes soin de toi-même."
Chettu non ti conduchi a tale streza.,que tu ne t'en mêles pas.,Que tu n'agis pas comme ça.
"Molto mi dolea   il cuor, quand’i’ vedea",Mon cœur me détestait quand je voyais,luiMon cœur souffrait profondément quand je le voyais.
"Chell’uscio mio stava in tal sogiorno,","que ma porte était dans un tel lieu,",que ma porte était dans un endroit pareil.
Ch’e’ vi solea   aver tal pressa ’ntorno,qui était si bondé autour d'elle,qu'il était si rempli autour d'elle
Che tutta la contrada ne dolea.,que toute la région en souffrait.,que toute la région en était affligée.
"Ma, quanto a me, e’ no•me ne calea,","Mais moi, je m'en fichais.","Cependant, en ce qui me concerne, je n'en avais aucun intérêt."
"Ché troppo più piaciea   loro quel torno,","parce que c'était trop agréable pour eux,","parce que c'était trop agréable pour eux,"
"Ch’i’ era allora di sì grande attorno,","que j'étais alors si grand autour,",que j'étais si immense autour
Che tutto quanto il mondo mi’ parea.,que le monde entier me semblait.,que tout m'apparaissait.
"Or convenia che di dolor morisse,",Il est temps qu'il meure de douleur.,"Maintenant, il est juste qu'il inspire dans l'angoisse."
"Quand’i’ vedea   que’ giovani passare,","Quand je voyais ces jeunes passer,","Je me sentais triste quand je voyais ces enfants passer, et je me sentais affligé."
E ciaschedun parea   che mi schernisse.,Et tout le monde semblait se moquer de moi.,Et tout le monde semblait se moquer de moi.
“Vechia increspata” mi faciean chiamare,On m'appelait Vieille Crêpe.,"""Ils m'ont traité de vieil homme rugueux."""
"A colu’ solamente, che giadisse","À lui seul, qui une fois","À qui seul, qui dans le passé"
Più carnalmente mi solea   amare.,Il m'aimait plus charnellement.,Il m'aimait plus passionnément.
Ancora d’altra parte cuore humano,"D'un autre côté, le cœur humain","reste toujours le mêmeD'un côté, le cœur humain reste inchangé"
"Non penserebe il gran dolor, ch’i’ sento,",ne penserait pas la grande douleur que je ressens,n'imaginerait pas la tristesse profonde que je ressents
Tratutte l’ore ch’i’ ò pensamento,De toutes les heures que je pensais,De toutes les fois où j'ai médité
"De’ be’ basciar’, che m’ànno dato mano.",Les jolis baisers qu'ils m'ont donnés.,aux petits baisers qui m'ont accordé.
"Ogni’ Sollazo m’è ogi lontano,","Chaque plaisir m'est maintenant loin,",Chaque satisfaction m'est maintenant lointaine.
Ma non Ira e Dolori e Gran-Tormento:,mais pas la colère et la douleur et le grand tourment:,mais pas l'indignation et la souffrance et la grande affliction.
Costor si ànno fatto saramento,Ils ont prêté serment.,Ces personnes ont voté solennellement.
Ch’i’ non uscirò lor mai di tra mano.,Que je ne sortirai jamais de leurs mains.,Que je ne serai jamais libéré de leurs griffes.
"Or puo’ veder com’i’ son arivata,","Maintenant tu peux voir comment je suis arrivée,","Maintenant, tu peux voir comment je suis arrivé ici."
"Né al mi’ mal nonn-à altra cagione,","Et mon mal n'a pas d'autre cause,",Si ce n'est l'amourEt ma souffrance n'a pas d'autre raison que de l'aimer.
Se non ched i’ fu’ troppo tosto nata.,Sauf que je suis née trop tôt.,Sauf que je suis venue trop tôt.
Ma sapie ched io ò ferma intenzione,Mais sache que j'ai l'intention ferme.,N'oublie pas que j'ai une détermination ferme.
"Ch’i’ sarò anchor per te vendicata,",Que je serai vengée pour toi aussi.,Que je serai vengée pour toi aussi.
Settu ben riterrai la mia lezione.,Si tu considères bien ma leçon.,Si tu regardes attentivement ma leçon.
Non ne pos’altrementi far vengianza,Je ne peux pas me venger autrement.,Je ne peux pas en faire un acte de vengeance.
"Se non per insegniarti mia dottrina,","Si je ne t'enseigne pas ma doctrine,","Comment puis-je vous aider ?Si je ne vous illustre pas ma sagesse, comment puis-je vous soutenir ?"
Perciò che•llo me’ cor sì m’indovina,Parce que mon cœur me devine,Parce que mon cœur m'incarne
Chettu darai lor ancor gran micianza,"Que tu leur donneras encore une grande défaite,",Que tu leur infligeras encore une grande défaite.
"A que’ ribaldi, che tanta viltanza",A ceux qui se moquent de toi.,Ils se sont tournés vers ces imbéciles qui ont lancé tant d'impurs.
Me dicieano da sera e da mattina.,Ils me disaient le soir et le matin.,Ils m'ont averti de nuit et de jour.
"Tutti gli meterai anche a la china,",Tu les mettras tous à terre.,Tu les mettras tous à terre.
Se•ttu sa’ ben tener la tua bilanza.,Si tu sais tenir ta balance.,Si tu sais garder ta balance.
"Ché sie ciertana, s’i’ fosse dell’agio,","Pour être sûre, si j'étais capable,","J'irais pour m'en assurer, si je pouvais, j'irais là-bas."
"Figluola mia, che tu•ssè or presente,","Ma fille, que tu es maintenant présente,","C'est une grande bénédiction, ma fille, que tu es maintenant ici, c'est une immense grâce."
"Ch’i’ gli pagherè’ ben di lor oltragio,",Je les paierais bien pour leur outrage.,Je les récompenserais généreusement pour leur offense.
"Sì che ciascuno farè’ star dolente,","Pour que tout le monde soit blessé,",Pour que tout le monde soit affligé.
"Già tanto non sareb’e’ pro’ né sagio,",Il ne serait ni prudent ni sage.,"De toute façon, il ne serait ni avisé ni averti."
Ched i’ non ne faciesse pan-chiedente.,Que je n'en fasse pas partie.,Que je n'en supplie pas.
"In gran povèrta tutti gli metesse,","Je les mettrais tous dans une grande pauvreté,",Je les mettrais dans une grande pauvreté.
