Original,Translate_es_1,Translate_es_2
"O darò lor sì dure   penitenze,","o les daré penitencias tan duras,","Que se arrepentirá de sus penas tan severas, que se arrepentirán de las consecuencias."
Che me’ lor fora ch’e’ non fosser nati.,"""Que me hubiera sido mejor si nunca hubieran nacido.","""Que me hubiera sido más apropiado si nunca hubieran salido a la luz."
"A Prato, ed a Arezo, e a Firenze","En Prato, Arezzo y Florencia","En Prato, en Arezzo y en Florencia, hay tres grandes ciudades de Toscana."
N’ò io distrutti molti e iscacciati:,He destruido y echado a muchos;,He aniquilado y echado a muchos.
"Dolente è que’, che cade a mie sentenze».",El dolor es el que cae bajo mis juicios,Afligido es el que cae bajo mis juicios
"«Dì, Falsenbiante, per gran cortesia,","""Di, Falsenbiante, por favor,","¿Qué quieres?""Exclama, Suplicante, por favor, ¿qué deseas?"
"Po’ ch’i’ t’ò ritenuto di mia giente,",Porque te he retenido entre mi gente,Porque te he mantenido entre mi gente
"E ò•tti fatto don sì bel’e giente,","Y te he dado un regalo de tan buena gente,",Y te he hecho un regalo de una buena gente.
"Che•ttu sè Re della baratteria,","que eres el rey del fraude,",Que eres el gobernante del engaño.
"Afideròmi in te, o è follia?","¿Voy a confiar en ti, o es una locura?",¿Me apoyaré en ti o es una locura?
"Fa che•ttu me ne facci conosciente,",Déjame conocerte.,Asegúrate de hacerme entender.
"Chéd i’ sarei doman troppo dolente,","Porque mañana estaría demasiado triste,",Decidí irme a la cama porque mañana estaría demasiado afligido. Decidí retirarme.
Se•ttu pensassi a farmi villania».,Si pensaras en lastimarme.,Si pensaras en hacerme daño
"«Per Dio merzé, messer, non vi dottate,","""Por Dios bendiga, no dudéis,","Porque yo no he fallado""Por misericordia divina, no tengáis ninguna duda, porque yo no he errado."
"Chéd i’ vi do la fé, tal com’i’ porto,","que os doy mi palabra, como la llevo,","Te lo prometo, como yo lo guardo."
Ched i’ vi terrò pura lealtate».,"que os mantendré pura fidelidad""",que les demostraré lealtad incondicional
"«Allor», sì disse Amor, «ogniò si’  acorto","""Entonces,"" dijo Amor, ""cada uno se arma","de paciencia""Entonces, afirmó Amor, ""cada uno se muestre de tolerancia."""
"D’armarsi con su’ arme devisate,",Para armarse con sus armas especiales,Equiparse con sus propias armas.
"E vadasi al castel, che•ssì m’à morto».","Y vaya al castillo que me mató.""",Y váyase a la casa que me abrumó
A l’armadure ciaschedun si prese:,Cada uno tomó su propia armadura;,Cada uno tomó su propia armadura.
E’ sì s’armar co•molto gran valore,Se armaron con gran valor,Se prepararon con gran valor
"Per dar a Gielosia pene e dolore,",Para dar a Celos el pene y el dolor,Para infligir sufrimiento y tormento a celos
Se contra lor stesse alle difese;,si se defendieran contra ellos mismos;,Si se protegen a sí mismos.
"Ed alcun prese   scudo, altro pavese,","Y algunos tomaron escudos, y otras espadas,","y otros lanzasAlgunos se armaron con escudos, otros tomaron espadas y algunos eligieron lanzas."
"Ispade, e lancie, a molto gran romore,","y lanzas, con gran ruido,","Y arrojó, con gran esplendor,"
Diciendo ciaschedun al Die d’Amore,diciendo cada uno al Dios de Amor,invocando al Todopoderoso de Amor
"Che quelle guardie saran morte, e prese.",Que esos guardias serían asesinados y capturados.,Que esos centinelas serían asesinados y encarcelados.
"Or sì vi conterò la contenenza,",Les contaré lo que pasó.,Ahora os cuento lo que sucedió
Che Falsenbiante fecie in quella andata,lo que Falsenbiante hizo en aquella ida,Fue un acto de deslealtad Lo que Falsenbiante hizo en aquella ida fue un gesto de infidelidad.
Colla su’ amica Costretta-Astinenza:,con su amiga Obligada-Ausencia:,Tuvo que abstenerse de la compañía de su amiga.
"E’ non menar co•llor già giente armata,","no se movieron con esa gente armada,",No se aventuraron con esa gente armada.
"Ma come giente di gran penitenza,","pero como gente de gran penitencia,",Pero como personas de gran contrición.
Si mosser per fornir ben lor giornata.,se movieron para darles un buen día.,Se movieron para darles un día maravilloso.
"Astinenza Costretta, la primera,","La abstinencia forzada, la primera,","Abstinencia Forzada, la primera."
"Sì si vestì di roba di renduta,","se vistió de vestidos dimitidos,",se cubrió con ropa modesta.
"Velata che non fosse conosciuta,","velada para que no sea reconocida,",Escondida para que no sea identificada.
Con un i•man faciea preghera;,con un rosario en la mano oraba;,con una corona de oración estrecha entre los dedos suplicaba.
"La ciera sua non parea molto fera,","su aspecto no parecía demasiado feroz,",Su aspecto no parecía demasiado amenazador.
Anz’era humile e piana divenuta.,"De hecho, se había vuelto humilde y sencillo.","Más bien, se había hecho humilde y modestamente."
Al una filza avea penduta,Había colgado un rosario en el cuello,Colgó una corona de oración alrededor del cuello.
"Di paternostri, e ’l laccio di fil iera;",De padrenuestro y un cordón de alambre,De padrenuestro y un cordón de alambre
Ed i•mano un bordone di ladorneccio,y en la mano un palo de madera de abeto,y en la mano una vara de madera de abeto
"Portava, il qual le donò ser Baratto:","Llevaba, que le había dado el Sr. Baratto:",que le había proporcionado el Sr. Baratto
"Già non era di melo, né di leccio:",No era de manzano ni de lecho:,No era de postre ni de áspero.
"Il suocier le l’avea tagliato, e fatto;",su suegro le había cortado y hecho;,Su suegro la había cortado y procesado.
La scarsella avea piena di forneccio.,La alforja estaba llena de mercancía robada.,La bolsa estaba llena de bienes robados.
Ver’ Mala-Bocca andò per darli matto.,Se fue a Mala-Boca para volverse loco.,Se fue a Mala-Boca para volverse loco.
"Falso-Senbiante, sì com’on di coro,","Falso-Senbiante, como hombre de iglesia","Falso-Sacerdote, como figura eclesiástica"
"Religioso, e di santa vita,",Religioso de santa vida,Devoto a la santidad
S’aparechiò: e’ si avea vestita,"Se preparó, se había vestido","Se preparó, se había adornado"
La roba frate Alberto d’Agi-moro;,con los vestidos del fraile Alberto d'Agi-moro;,con el traje de fraile Alberto d'Agi-moro.
Il su’ bordon non fu di secomoro,Su bastón no era de sicomoro.,Su bastón no era de arce.
Ma di gran falsità ben ripulita;,pero de gran falsedad bien pulida;,pero de gran mentira bien perfeccionado.
La sua scarsella avea pien’ e fornita,su alforja estaba llena y entregada,su bolsa estaba llena y bien equipada
Di tradigion più che d’argiento o d’oro;,de traición más que de plata u oro;,de infidelidad más que de preciosas
Ed una al collo tutta sola,Y una en el cuello sola.,Estaba rodeada de soledad en el cuello.
"Portava, in seno avea rasoio taglente,","Llevaba, tenía una navaja puntiaguda en el pecho,","Llevaba, tenía una navaja afilada en el pecho."
"Ch’e ’l fecie fabricare a Taglia-gola,","que hizo fabricar en Cortagola,",que encargó a Cortagola
Di che quel Malabocca maldiciente,con el que ese Malabocca maldito,con el que ese mormorador malévolo
"Fu poi strangolato, ch’e’ tal gola","Y fue estrangulado, porque aquella garganta","Luego se ahogó, porque esa garganta"
Avea de dir male d’ognie giente.,Siempre hablaba mal de todas las personas.,Siempre tenía palabras duras para cada persona.
Così n’andaro in lor pellegrinagio,Así que partieron en su peregrinación,Así que se pusieron en camino para su peregrinación.
La buona pellegrina e ’l pellegrino;,la buena peregrina y el peregrino;,La benevolente viandante y el viajero.
"Ver’ Mala-Bocca tener lor camino,","hacia Malabossa mantenían su camino,",Se dirigían a Malabossa
Ch’e’ troppo ben guardava su’ passagio.,que demasiado bien vigilaba su paso.,que vigilaba atentamente su tránsito.
"E Falsenbiante, malizioso e sagio,","Y Falsenbiante, travieso y astuto,","Y Falsenbiante, astuto y maligno,"
"Il salutò col capo molto chino,","Le saludó con el jefe muy inclinado,",Lo saludó con gran deferencia.
"E’ sì gli dissi: «I’ son mastro divino,","y le dijo: ""Yo soy un maestro divino,","Él le dijo: ""Yo soy un instructor superior, que vino a conceder la liberación."""
Sì siàn venuti a voi per ostellagio».,"Hemos venido a vosotros por hospitalidad.""",Llegamos para recibirlos.
"Mala-Bocca conobe ben Senbiante,","Mala-Bocca conocía bien a Senbiante,",Mala-Bocca estaba bien informado sobre Senbiante.
Ma non ch’e’•ffose Falso; sì rispuose,Pero no sabía que era Falso; respondió,contestó que ignoraba era una mentira
C’ostel darebe lor: «Venite avante».,"que le daría hospitalidad: ""Vengan adelante.""","""Procedan."""
"Ad Astinenza molto mente puose,","Le dio mucha atención a la abstinencia,",Consiguió mucha consideración a la abstinencia.
"Ch’e’ veduta l’avea per volte mante,","que la había visto en el pasado,",que lo había visto antes
Ma per Costretta già mai no•lla spuose.,"Pero para Ostretta, nunca había notado nada.","Pero para Ostretta, nunca había notado nada."
Malabocca sì ’nchiede i pellegrini,Malabocca preguntó a los peregrinos,No entrar en Malucacca pidió a los viajeros que se abstuvieran de entrar.
Di loro stato e di lor condizione;,su estado y su condición;,de su situación y de sus circunstancias
E’ dimandò qual era la cagione,Y preguntó cuál era la razón,y preguntó cuál era la causa
Ch’e’ gli andavan sì matti e sì tapini.,Así que estaban tan locos y tan pobres.,"Por lo tanto, tenían tanta frenesí y tan poca."
"Que’ disser: «No’ sì siàn mastri divini,","Dijeron: ""No somos maestros divinos,","pero simples seres humanos""Ellos afirmó: ""No somos dioses, sino comunes mortales."""
E sì cierchiamo in ognie regione,y buscamos en cada región,Exploremos cada área.
"De l’anime, che vanno a perdizione,","las almas que van a la perdición,",seres que encuentran la ruina.
Per rimenargli a lor dritti camini.,para volverlas a poner en sus justos caminos.,para volverlos a poner en el camino correcto.
Or par che•ssia piaciuto al Salvatore,Ahora parece que le gustó al Salvador.,Ahora parece que al Salvador le gustó.
"D’averci qui condotti per vo’ dire,","de habernos traído aquí para hablar,",Por traernos aquí para discutir.
E gastigar del vostro grande errore,y corregir su gran error,Reparar su colosal error
S’e’ vi piacie d’intender e d’udire».,Si os gusta escuchar y oír.,Si te gusta sentir y sentir.
"O fatto, i’ sì son presto d’ubidire».","Ahora, estoy listo para obedecer.","Ahora, estoy preparado para obedecer."
"Astinenza sì cominciò a parlare,","La abstinencia comenzó a hablar,",La abstinencia empezó a distraerse.
"E disse: «La vertude più sovrana,","Y dijo: ""La virtud más soberana","es la libertad""Y sostuvo: ""La bondad más alta es la independencia."""
"Che possa aver la criatura humana,",Que pueda tener una criatura humana,que un ser humano pueda tener
Si è della sua lingua rifrenare.,Es para controlar su lengua.,Es la de vigilar su habla.
"Sovr’ogn’altra persona, a noi sì pare,","A nosotros nos parece, más que a cualquier otra persona,","que el proyecto es un éxitoA nosotros nos parece, más que nadie, que la iniciativa ha tenido éxito."
Ch’esto peccato in voi fioriscie e grana;,que este pecado florezca y se multiplique en vosotros;,Que esta transgresión germina y se propague por vosotros.
"Se no ’l lasciate, egli è cosa ciertana","Si no lo dejan, él es algo seguro.","Si no lo permitís, seguro que él se quedará."
"Che nello ’Nferno vi conviene andare,","que en el infierno les conviene ir,",Será mejor que os vayáis al infierno.
Ché pez’à c’una truffola levaste,Porque con un fraude habéis estafado,los niños porque con un engaño engañasteis a los niños.
"Sopra ’l valetto, che vo’ ben sapete.","El valet, que usted conoce bien.","El sirviente, que usted está bien familiarizado."
Con grande torto voi il difamaste,Le habéis difamado con gran equivocación.,Con profunda injusticia lo has calumniado.
"Ch’e’ non pensava a•cciò, che vo’ credete.",Diciendo que no pensaba en lo que creían.,afirmando que no tiene en cuenta lo que usted piensa.
"Bellacoglienza tanto ne gravaste,","Hermosa colegialidad tan oprimida,","Bella acogida tan oprimido,"
Ch’ella fu messa là ove vo’ vedete».,que fue puesta donde la veis.,Que fue colocada donde la vieron.
Udendo Mala-Bocca c’Astinenza,Oyendo Malabocca que la abstinencia,"había ganado, él se sintió aliviado al oír que Malabocca había sido derrotado por la abstinencia, él se regocijó."
"Sì forte il biasimava, e riprendea,",Lo culpaba tan duramente.,Le regañaba tan duramente.
"Sì•ssi crucciò, e disse ch’e’ volea",Se entristeció y dijo que quería,Sensirse se entristeció y dijo que quería irse
C’andasser fuor   della su’apartenenza:,que salieran de su casa:,Que abandonaran su morada
«Vo’ credete coprir Bellacoglienza,"""Ustedes creen que están cubriendo Bellacoglienza","con una mentira?""¿Crees que escondes Bellacoglienza con un engaño?"
"Di ciò, che quel valetto far credea.",Por lo que ese valet dijo que hizo.,Por lo que el siervo dijo que había hecho.
Bello dissi e dirò ch’ela volea,Les digo y repito que ella quería.,Voy a decirte y repito que ella quería irse.
"Donargli il Fior, e quest’era sua ’ntenza.","Darle la Flor, y esa era su intención.","Concederle el Blossoming, y ese era su propósito."
"Que’ lo ’nnerrò del bascio, quest’è cierto,","Eso le engañó con un beso, eso es seguro.","Eso lo engañó con una caricia, eso es innegable."
"Per ch’i’ vi dico, a voi divinatori,","Así que os digo, predicadores,","En consecuencia, les digo, ustedes, oradores,"
